,variables,D
2,same_zip_5.x,0.5
32,same_ssn_5.x,0.5
90,same_nameDOB_5.x,0.5
43,same_ssn_diff_phone_3.x,0.5
72,same_phone_diff_ssn_1.x,0.5
55,same_ssn_diff_zip_3.x,0.4756554307116105
37,same_ssn_diff_address_3.x,0.46619217081850534
49,same_ssn_diff_dob_3.x,0.4508670520231214
31,same_ssn_3.x,0.43050847457627117
50,same_ssn_diff_dob_5.x,0.4148148148148148
78,same_phone_diff_dob_3.x,0.3975903614457832
44,same_ssn_diff_phone_5.x,0.3901098901098901
51,same_ssn_diff_dob_7.x,0.3767705382436261
38,same_ssn_diff_address_5.x,0.3666666666666667
56,same_ssn_diff_zip_5.x,0.36658354114713215
45,same_ssn_diff_phone_7.x,0.34917355371900827
6,same_zip_diff_address_1.x,0.33333333333333337
0,same_zip_1.x,0.33333333333333337
12,same_zip_diff_ssn_1.x,0.3333333333333333
24,same_phone_diff_phone_1.x,0.3333333333333333
18,same_phone_diff_dob_1.x,0.3333333333333333
83,same_phone_diff_zip_3.x,0.3333333333333333
111,same_phone_diff_dob_1.x.x,0.3333333333333333
57,same_ssn_diff_zip_7.x,0.32575757575757575
73,same_phone_diff_ssn_3.x,0.32397408207343414
53,same_ssn_diff_dob_30.x,0.31262939958592134
52,same_ssn_diff_dob_14.x,0.31262939958592134
33,same_ssn_7.x,0.3122866894197952
39,same_ssn_diff_address_7.x,0.30931458699472764
30,same_ssn_1.x,0.30000000000000004
79,same_phone_diff_dob_7.x,0.29584120982986767
61,same_phone_3.x,0.29296066252587993
67,same_phone_diff_address_3.x,0.2852664576802508
47,same_ssn_diff_phone_30.x,0.28503937007874014
46,same_ssn_diff_phone_14.x,0.28503937007874014
85,same_phone_diff_zip_5.x,0.27635542168674704
59,same_ssn_diff_zip_30.x,0.27377521613832856
58,same_ssn_diff_zip_14.x,0.27377521613832856
74,same_phone_diff_ssn_5.x,0.27078891257995735
97,same_nameDOB_diff_address_7.x,0.26415094339622636
